agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature,ais_original,regiao_risp
2.0,AIS 06,,,AMADEU FURTADO,Fortaleza,,Sim,2026-05-20,,,,08:35:14,79166,4431180.0,,-3.7352282665,-38.5818252018,RUA BALDUÍNO FREIRE,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,AIS 06,CAPITAL OESTE
2.0,AIS 21,,,AEROLANDIA,Fortaleza,,Sim,2026-05-20,,,,05:26:09,79165,4431179.0,,-3.72635446,-38.5062592643,AVENIDA RUI BARBOSA,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 17,,,CANINDEZINHO,Maracanaú,,Sim,2026-05-20,,,,03:58:08,79167,4431212.0,,-3.8421122536,-38.5686634134,AVENIDA DA ALEGRIA,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,AIS 17,CAPITAL OESTE
2.0,AIS 21,,,AEROLANDIA,Fortaleza,,Sim,2026-05-20,,,,01:56:22,79164,4431177.0,,-3.7908831721,-38.507424734,RUA TENENTE NICOLAU,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 12,,,IPARANA,Caucaia,,Sim,2026-05-20,,,,01:42:13,79168,4430914.0,,-3.6949331711,-38.6540129039,RUA NEUZA VALE DE AGUIAR,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quarta-feira,False,False,,,,ROUBO A RESIDÊNCIA,AIS 12,RMF OESTE
2.0,AIS 20,,,PLANALTO AYRTON SENNA,Pacatuba,,Sim,2026-05-19,,,,23:31:31,79163,4431216.0,,-3.880300761,-38.5848618051,RUA CÍCERO RODRIGUES DE MOURA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,AIS 20,CAPITAL OESTE
2.0,AIS 21,,,AEROLANDIA,Fortaleza,,Sim,2026-05-19,,,,22:42:55,79156,4431176.0,,-3.7296679441,-38.5055957924,RUA VALMAN CASTRO DE MIRANDA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 21,,,AEROLANDIA,Fortaleza,,Sim,2026-05-19,,,,17:31:39,79157,4431174.0,,-3.7405205674,-38.5167049097,RUA ANTÔNIO AUGUSTO,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 21,,,AEROLANDIA,Fortaleza,,Sim,2026-05-19,,,,17:25:03,79161,4431172.0,,-3.732722277,-38.5321571563,PRACA CLOVIS BEVILAQUA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 08,,,CAIS DO PORTO,Fortaleza,,Sim,2026-05-19,,,,16:31:02,79160,4431171.0,,-3.7489035859,-38.4467844138,AVENIDA CLÓVIS ARRAIS MAIA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,AIS 08,CAPITAL LESTE
