snapshot_generated_at,data_limit,source,scope,rank,name,name_normalized,region,territorial_level,risk_score,risk_level,confidence_pct,confidence_label,expressiveness_pct,expressiveness_label,recent_cvli_14d,recent_cvli_30d,historical_cvli,neural_score,tension_score,inclusion_score,calm_penalty,territorial_support_pct,historical_support_pct,live_support_pct,score_z,peer_percentile,dynamic_window_days,base_window_days,historical_fallback,trend,top_driver_1,top_driver_1_strength_pct,top_driver_2,top_driver_2_strength_pct,top_driver_3,top_driver_3_strength_pct,explainability_summary,leitura_rapida_gestor,por_que_importa_gestor,confianca_limites_gestor,expressividade_previsao_gestor,proxima_acao_gestor
2026-06-26T14:26:36,2026-06-23,src/core/orchestrator.py:get_combined_risk,cities_general_top30,1,CAUCAIA,CAUCAIA,rmf,cidade,94.69,crítico,99.0,alta,99.0,muito alta,3,6,947.0,100.0,100.0,100.0,23.3,100.0,100.0,100.0,3.95,100.0,14,14,False,stable,Sinal Poisson do ranking operacional,100.0,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,Sinal Poisson do ranking operacional: 100.0% | Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0%,"CAUCAIA aparece na posição 1 de 69, com risco 94.7 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 100.0% e 6 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-26T14:26:36,2026-06-23,src/core/orchestrator.py:get_combined_risk,cities_general_top30,2,JUAZEIRO DO NORTE,JUAZEIRO DO NORTE,interior,cidade,87.5,crítico,92.9,alta,96.3,muito alta,1,4,319.0,100.0,100.0,50.0,0.0,100.0,100.0,100.0,3.59,98.5,14,14,False,stable,Sinal Poisson do ranking operacional,100.0,Tensão territorial,100.0,CVLI recente na janela de 30 dias,80.0,Sinal Poisson do ranking operacional: 100.0% | Tensão territorial: 100.0% | CVLI recente na janela de 30 dias: 80.0%,"JUAZEIRO DO NORTE aparece na posição 2 de 69, com risco 87.5 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 100.0% e 4 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-26T14:26:36,2026-06-23,src/core/orchestrator.py:get_combined_risk,cities_general_top30,3,SOBRAL,SOBRAL,interior,cidade,73.24,crítico,88.5,alta,92.0,muito alta,1,3,386.0,90.8,100.0,50.0,40.0,100.0,100.0,100.0,2.87,97.1,14,14,False,stable,Tensão territorial,100.0,Sinal Poisson do ranking operacional,90.8,CVLI recente na janela de 30 dias,60.0,Tensão territorial: 100.0% | Sinal Poisson do ranking operacional: 90.8% | CVLI recente na janela de 30 dias: 60.0%,"SOBRAL aparece na posição 3 de 69, com risco 73.2 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-26T14:26:36,2026-06-23,src/core/orchestrator.py:get_combined_risk,cities_general_top30,4,MARACANAU,MARACANAU,rmf,cidade,56.22,alto,78.4,moderada,87.0,muito alta,1,1,657.0,57.2,100.0,50.0,26.7,100.0,100.0,100.0,2.01,95.6,14,14,False,stable,Tensão territorial,100.0,Sinal Poisson do ranking operacional,57.2,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | Sinal Poisson do ranking operacional: 57.2% | Atividade recente e vizinhança: 50.0%,"MARACANAU aparece na posição 4 de 69, com risco 56.2 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-26T14:26:36,2026-06-23,src/core/orchestrator.py:get_combined_risk,cities_general_top30,5,BOA VIAGEM,BOA VIAGEM,interior,cidade,45.17,moderado,83.4,moderada,83.4,alta,2,3,118.0,17.7,100.0,100.0,33.3,100.0,100.0,100.0,1.45,94.1,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,60.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 60.0%,"BOA VIAGEM aparece na posição 5 de 69, com risco 45.2 e nível moderado; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-26T14:26:36,2026-06-23,src/core/orchestrator.py:get_combined_risk,cities_general_top30,6,ACOPIARA,ACOPIARA,interior,cidade,39.6,moderado,86.9,alta,81.2,alta,2,4,48.0,7.6,100.0,100.0,20.0,100.0,70.0,100.0,1.17,92.6,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,80.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 80.0%,"ACOPIARA aparece na posição 6 de 69, com risco 39.6 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 4 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-26T14:26:36,2026-06-23,src/core/orchestrator.py:get_combined_risk,cities_general_top30,7,ITAPIPOCA,ITAPIPOCA,interior,cidade,38.4,moderado,85.9,alta,80.0,alta,1,3,195.0,27.7,100.0,50.0,33.3,100.0,100.0,100.0,1.1,91.2,14,14,False,stable,Tensão territorial,100.0,CVLI recente na janela de 30 dias,60.0,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | CVLI recente na janela de 30 dias: 60.0% | Atividade recente e vizinhança: 50.0%,"ITAPIPOCA aparece na posição 7 de 69, com risco 38.4 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-26T14:26:36,2026-06-23,src/core/orchestrator.py:get_combined_risk,cities_general_top30,8,MORADA NOVA,MORADA NOVA,interior,cidade,36.61,moderado,85.6,alta,78.7,alta,1,3,150.0,24.9,100.0,50.0,36.7,100.0,100.0,100.0,1.01,89.7,14,14,False,stable,Tensão territorial,100.0,CVLI recente na janela de 30 dias,60.0,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | CVLI recente na janela de 30 dias: 60.0% | Atividade recente e vizinhança: 50.0%,"MORADA NOVA aparece na posição 8 de 69, com risco 36.6 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-26T14:26:36,2026-06-23,src/core/orchestrator.py:get_combined_risk,cities_general_top30,9,TIANGUA,TIANGUA,interior,cidade,34.72,moderado,80.1,moderada,77.3,alta,1,2,128.0,20.0,100.0,50.0,16.7,100.0,100.0,100.0,0.92,88.2,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,CVLI recente na janela de 30 dias,40.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | CVLI recente na janela de 30 dias: 40.0%,"TIANGUA aparece na posição 9 de 69, com risco 34.7 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 2 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-26T14:26:36,2026-06-23,src/core/orchestrator.py:get_combined_risk,cities_general_top30,10,QUIXADA,QUIXADA,interior,cidade,33.27,moderado,74.9,moderada,76.1,alta,1,1,147.0,18.5,100.0,50.0,30.0,100.0,100.0,100.0,0.84,86.8,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,CVLI recente na janela de 30 dias,20.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | CVLI recente na janela de 30 dias: 20.0%,"QUIXADA aparece na posição 10 de 69, com risco 33.3 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
