snapshot_generated_at,data_limit,source,scope,rank,name,name_normalized,region,territorial_level,risk_score,risk_level,confidence_pct,confidence_label,expressiveness_pct,expressiveness_label,recent_cvli_14d,recent_cvli_30d,historical_cvli,neural_score,tension_score,inclusion_score,calm_penalty,territorial_support_pct,historical_support_pct,live_support_pct,score_z,peer_percentile,dynamic_window_days,base_window_days,historical_fallback,trend,top_driver_1,top_driver_1_strength_pct,top_driver_2,top_driver_2_strength_pct,top_driver_3,top_driver_3_strength_pct,explainability_summary,leitura_rapida_gestor,por_que_importa_gestor,confianca_limites_gestor,expressividade_previsao_gestor,proxima_acao_gestor
2026-06-23T14:59:06,2026-06-18,src/core/orchestrator.py:get_combined_risk,cities_general_top30,1,CAUCAIA,CAUCAIA,rmf,cidade,97.72,crítico,99.0,alta,98.3,muito alta,2,5,946.0,100.0,100.0,100.0,10.0,100.0,100.0,100.0,3.81,100.0,14,14,False,stable,Sinal Poisson do ranking operacional,100.0,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,Sinal Poisson do ranking operacional: 100.0% | Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0%,"CAUCAIA aparece na posição 1 de 69, com risco 97.7 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 100.0% e 5 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-23T14:59:06,2026-06-18,src/core/orchestrator.py:get_combined_risk,cities_general_top30,2,SOBRAL,SOBRAL,interior,cidade,94.69,crítico,95.0,alta,96.7,muito alta,2,3,386.0,100.0,100.0,100.0,23.3,100.0,100.0,100.0,3.67,98.5,14,14,False,stable,Sinal Poisson do ranking operacional,100.0,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,Sinal Poisson do ranking operacional: 100.0% | Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0%,"SOBRAL aparece na posição 2 de 69, com risco 94.7 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-23T14:59:06,2026-06-18,src/core/orchestrator.py:get_combined_risk,cities_general_top30,3,JUAZEIRO DO NORTE,JUAZEIRO DO NORTE,interior,cidade,92.6,crítico,99.0,alta,95.4,muito alta,2,4,318.0,99.0,100.0,100.0,30.0,100.0,100.0,100.0,3.57,97.1,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,Sinal Poisson do ranking operacional,99.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | Sinal Poisson do ranking operacional: 99.0%,"JUAZEIRO DO NORTE aparece na posição 3 de 69, com risco 92.6 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 4 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-23T14:59:06,2026-06-18,src/core/orchestrator.py:get_combined_risk,cities_general_top30,4,ITAPIPOCA,ITAPIPOCA,interior,cidade,53.57,alto,85.1,alta,85.7,muito alta,2,3,195.0,30.3,100.0,100.0,16.7,100.0,100.0,100.0,1.74,95.6,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,60.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 60.0%,"ITAPIPOCA aparece na posição 4 de 69, com risco 53.6 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-23T14:59:06,2026-06-18,src/core/orchestrator.py:get_combined_risk,cities_general_top30,5,MORADA NOVA,MORADA NOVA,interior,cidade,51.5,alto,84.7,moderada,84.3,alta,2,3,150.0,27.3,100.0,100.0,20.0,100.0,100.0,100.0,1.64,94.1,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,60.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 60.0%,"MORADA NOVA aparece na posição 5 de 69, com risco 51.5 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-23T14:59:06,2026-06-18,src/core/orchestrator.py:get_combined_risk,cities_general_top30,6,BOA VIAGEM,BOA VIAGEM,interior,cidade,47.62,moderado,83.8,moderada,82.6,alta,2,3,118.0,20.6,100.0,100.0,16.7,100.0,100.0,100.0,1.46,92.6,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,60.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 60.0%,"BOA VIAGEM aparece na posição 6 de 69, com risco 47.6 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-23T14:59:06,2026-06-18,src/core/orchestrator.py:get_combined_risk,cities_general_top30,7,AMONTADA,AMONTADA,interior,cidade,46.4,moderado,88.7,alta,81.4,alta,2,4,141.0,19.9,100.0,100.0,33.3,100.0,100.0,100.0,1.4,91.2,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,80.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 80.0%,"AMONTADA aparece na posição 7 de 69, com risco 46.4 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 4 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-23T14:59:06,2026-06-18,src/core/orchestrator.py:get_combined_risk,cities_general_top30,8,ITAPIUNA,ITAPIUNA,interior,cidade,38.78,moderado,81.8,moderada,78.8,alta,2,3,45.0,6.4,100.0,100.0,26.7,100.0,62.5,100.0,1.04,89.7,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,60.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 60.0%,"ITAPIUNA aparece na posição 8 de 69, com risco 38.8 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-23T14:59:06,2026-06-18,src/core/orchestrator.py:get_combined_risk,cities_general_top30,9,QUIXADA,QUIXADA,interior,cidade,36.68,moderado,75.4,moderada,77.4,alta,1,1,147.0,22.9,100.0,50.0,13.3,100.0,100.0,100.0,0.94,88.2,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,Sinal Poisson do ranking operacional,22.9,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | Sinal Poisson do ranking operacional: 22.9%,"QUIXADA aparece na posição 9 de 69, com risco 36.7 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-06-23T14:59:06,2026-06-18,src/core/orchestrator.py:get_combined_risk,cities_general_top30,10,RUSSAS,RUSSAS,interior,cidade,34.25,moderado,85.0,alta,76.1,alta,1,3,112.0,19.2,100.0,50.0,16.7,100.0,100.0,100.0,0.83,86.8,14,14,False,stable,Tensão territorial,100.0,CVLI recente na janela de 30 dias,60.0,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | CVLI recente na janela de 30 dias: 60.0% | Atividade recente e vizinhança: 50.0%,"RUSSAS aparece na posição 10 de 69, com risco 34.2 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
