agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature,ais_original,regiao_risp
2.0,AIS 18,,,CENTRO,FORTALEZA,,Sim,2026-06-18,,,,8:47:00,80542,4444871.0,,-3.7271142871,-38.5204555845,AVENIDA DOM MANUEL,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 19,,,DIONISIO TORRES,FORTALEZA,,Sim,2026-06-18,,,,7:07:18,80545,4444869.0,,-3.7515277082,-38.5080549443,RUA ISAC AMARAL,NONE,cvp,ROUBO A FARMÁCIA,,,Quinta-feira,False,False,,,,ROUBO A FARMÁCIA,,CAPITAL LESTE
2.0,AIS 21,,,ALTO DA BALANCA,FORTALEZA,,Sim,2026-06-18,,,,3:03:26,80543,4444867.0,,-3.7674617318,-38.5141455207,RUA ASPIRANTE MENDES,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 18,,,SAO GERARDO,FORTALEZA,,Sim,2026-06-18,,,,2:09:02,80544,4444866.0,,-3.7340692017,-38.5569800686,AVENIDA BEZERRA DE MENEZES,NONE,cvp,ROUBO A FARMÁCIA,,,Quinta-feira,False,False,,,,ROUBO A FARMÁCIA,,CAPITAL OESTE
2.0,AIS 19,,,DIONISIO TORRES,FORTALEZA,,Sim,2026-06-17,,,,9:45:18,80539,4444859.0,,-3.7519901022,-38.5084159,RUA ISAC AMARAL,NONE,cvp,ROUBO A FARMÁCIA,,,Quarta-feira,False,False,,,,ROUBO A FARMÁCIA,,CAPITAL LESTE
2.0,AIS 06,,,ANTONIO BEZERRA,CAUCAIA,,Sim,2026-06-17,,,,8:49:52,80536,4444752.0,,-3.7622802918,-38.6175666678,AVENIDA DOM ALMEIDA LUSTOSA,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 18,,,SAO GERARDO,FORTALEZA,,Sim,2026-06-17,,,,3:32:26,80541,4444857.0,,-3.7345032212,-38.5621179261,AVENIDA BEZERRA DE MENEZES,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,CAPITAL OESTE
2.0,AIS 03,,,,SOBRAL,,Sim,2026-06-17,,,,22:48:25,80538,4444949.0,,-3.6843197418,-40.354282849,RUA CORONEL JOSÉ SILVESTRE,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,NORTE
2.0,,,,PRAIA DO FURUTO II,FORTALEZA,,Sim,2026-06-17,,,,18:57:52,80540,4444864.0,,-3.7499010607,-38.4477950124,AVENIDA DIOGUINHO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,
2.0,AIS 17,,,PARQUE PRESIDENTE VARGAS,MARACANAU,,Sim,2026-06-17,,,,16:21:57,80537,4444897.0,,-3.8542497345,-38.6367796257,RUA 10,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,CAPITAL OESTE
