snapshot_generated_at,data_limit,source,scope,rank,name,name_normalized,region,territorial_level,risk_score,risk_level,confidence_pct,confidence_label,expressiveness_pct,expressiveness_label,recent_cvli_14d,recent_cvli_30d,historical_cvli,neural_score,tension_score,inclusion_score,calm_penalty,territorial_support_pct,historical_support_pct,live_support_pct,score_z,peer_percentile,dynamic_window_days,base_window_days,historical_fallback,trend,top_driver_1,top_driver_1_strength_pct,top_driver_2,top_driver_2_strength_pct,top_driver_3,top_driver_3_strength_pct,explainability_summary
2026-05-20T15:36:14,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,1,CAUCAIA,CAUCAIA,rmf,cidade,80.67,crítico,58.9,baixa,97.5,muito alta,0,1,652.0,100.0,100.0,0.0,93.3,100.0,100.0,50.0,3.64,100.0,30,30,True,stable,Sinal neural do ST-GAT,100.0,Tensão territorial,100.0,Fallback histórico ativado,55.0,Sinal neural do ST-GAT: 100.0% | Tensão territorial: 100.0% | Fallback histórico ativado: 55.0%
2026-05-20T15:36:14,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,2,JUAZEIRO DO NORTE,JUAZEIRO DO NORTE,interior,cidade,78.0,crítico,90.0,alta,95.9,muito alta,2,2,134.0,100.0,100.0,100.0,70.0,100.0,100.0,100.0,3.49,98.5,120,120,False,stable,Atividade recente e vizinhança,100.0,Sinal neural do ST-GAT,100.0,Tensão territorial,100.0,Atividade recente e vizinhança: 100.0% | Sinal neural do ST-GAT: 100.0% | Tensão territorial: 100.0%
2026-05-20T15:36:14,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,3,CARIRE,CARIRE,interior,cidade,66.66,alto,78.4,moderada,92.1,muito alta,1,1,24.0,93.3,100.0,50.0,53.3,100.0,10.0,100.0,2.88,97.1,120,120,False,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,93.3,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 93.3% | Atividade recente e vizinhança: 50.0%
2026-05-20T15:36:14,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,4,VARZEA ALEGRE,VARZEA ALEGRE,interior,cidade,58.24,alto,78.7,moderada,89.0,muito alta,1,1,17.0,65.7,100.0,50.0,13.3,100.0,0.0,100.0,2.43,95.6,120,120,False,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,65.7,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 65.7% | Atividade recente e vizinhança: 50.0%
2026-05-20T15:36:14,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,5,TIANGUA,TIANGUA,interior,cidade,58.2,alto,78.7,moderada,88.1,muito alta,1,1,78.0,64.2,100.0,50.0,6.7,100.0,100.0,100.0,2.43,94.1,120,120,False,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,64.2,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 64.2% | Atividade recente e vizinhança: 50.0%
2026-05-20T15:36:14,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,6,ITAPAJE,ITAPAJE,interior,cidade,54.35,alto,80.7,moderada,86.2,muito alta,2,2,45.0,34.1,100.0,100.0,10.0,100.0,62.5,100.0,2.22,92.6,120,120,False,stable,Atividade recente e vizinhança,100.0,Tensão territorial,100.0,CVLI recente na janela de 30 dias,40.0,Atividade recente e vizinhança: 100.0% | Tensão territorial: 100.0% | CVLI recente na janela de 30 dias: 40.0%
2026-05-20T15:36:14,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,7,ALTO SANTO,ALTO SANTO,interior,cidade,43.48,moderado,76.5,moderada,82.5,alta,1,1,22.0,33.7,100.0,50.0,16.7,100.0,5.0,100.0,1.63,91.2,120,120,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,Sinal neural do ST-GAT,33.7,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | Sinal neural do ST-GAT: 33.7%
2026-05-20T15:36:14,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,8,MARACANAU,MARACANAU,rmf,cidade,36.19,moderado,54.6,muito baixa,79.8,alta,0,0,654.0,12.4,100.0,0.0,100.0,100.0,100.0,0.0,1.24,89.7,30,30,True,stable,Tensão territorial,100.0,Fallback histórico ativado,55.0,Sinal neural do ST-GAT,12.4,Tensão territorial: 100.0% | Fallback histórico ativado: 55.0% | Sinal neural do ST-GAT: 12.4%
2026-05-20T15:36:14,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,9,BATURITE,BATURITE,interior,cidade,25.22,baixo,67.5,baixa,76.0,alta,0,0,64.0,33.8,100.0,0.0,100.0,100.0,100.0,0.0,0.64,88.2,120,120,False,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,33.8,Atividade recente e vizinhança,0.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 33.8% | Atividade recente e vizinhança: 0.0%
2026-05-20T15:36:14,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,10,TRAIRI,TRAIRI,rmf,cidade,23.59,baixo,70.4,moderada,74.7,alta,3,3,16.0,29.2,0.0,100.0,10.0,100.0,0.0,100.0,0.56,86.8,30,30,True,stable,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,60.0,Fallback histórico ativado,55.0,Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 60.0% | Fallback histórico ativado: 55.0%
