micronodo,area_oficial,faction,lat,long
Comunidade Tupiniquim,FLORESTA,CV,-3.725842,-38.574464
Aeroporto,AEROPORTO,CV,-3.770229,-38.546674
São Mateus,PARREÃO,CV,-3.762422,-38.539607
Cidade de Camocim,CAMOCIM,CV,-2.883472,-40.847088
Cidade de Massapê,MASSAPÊ,CV,-3.511347,-40.356503
Cidade de Uruoca,SENADOR SÁ,CV,-3.310083,-40.562079
Cidade de Martinópole,MARTINÓPOLE,CV,-3.218033,-40.70078
Cidade de Morrinhos,MORRINHOS,CV,-3.225715,-40.129082
Cidade de Bela Cruz ,ACARAU,CV,-3.049961,-40.165563
Cidade de Jericoacoara,JIJOCA DE JERICOACOARA,CV,-2.901078,-40.436513
Cidade de Umirim ,UMIRIM,CV,-3.671172,-39.358599
Cidade de Uruburetama,URUBURETAMA,CV,-3.619629,-39.516607
Distrito de São Jerônimo,GUAIÚBA,CV,-4.080645,-38.703464
Cidade de Chorozinho,CHOROZINHO,CV,-4.295325,-38.510736
Gamaleira,HORIZONTE,CV,-4.108007,-38.500743
Catolé,HORIZONTE,CV,-4.085022,-38.515247
Buenos Aires II,HORIZONTE,CV,-4.096037,-38.510446
Queimados,HORIZONTE,CV,-4.124236,-38.50126
CDD,HORIZONTE,CV,-4.125122,-38.504696
Vila Nascimento,HORIZONTE,CV,-4.10215,-38.499796
Dourados,HORIZONTE,CV,-4.102007,-38.458972
Coqueiros,HORIZONTE,CV,-4.105611,-38.442338
Mercado,HORIZONTE,CV,-4.10501,-38.492999
Rafael Santos,HORIZONTE,CV,-4.092022,-38.502905
Cumaru,PACAJUS,CV,-4.18634,-38.46889
COHAB,PACAJUS,CV,-4.182051,-38.470044
Banguê II,PACAJUS,CV,-4.182051,-38.470044
Vila Diogo,PACAJUS,CV,-4.183957,-38.476396
Condomínios,PACAJUS,CV,-4.17889,-38.474137
Dedé Gama,PACAJUS,CV,-4.180604,-38.470122
Granja,GRANJA,CV,-4.186113,-38.460808
Pajeú,PACAJUS,CV,-4.18528,-38.456516
