config_name,batch_size,learning_rate,hidden_dim,best_val_p5,eval_p5,epochs_trained,time_seconds
Config_01_Small,4,0.001,64,1.0,1.0,9,1.6473610401153564
Config_02_SmallLR,4,0.01,64,1.0,1.0,6,0.486910343170166
Config_03_MedLR,4,0.005,128,1.0,1.0,6,0.48397326469421387
Config_04_Base,8,0.001,128,1.0,1.0,6,0.4343254566192627
Config_05_BaseMid,8,0.005,128,1.0,1.0,7,0.480820894241333
Config_07_Large,8,0.01,256,1.0,1.0,6,0.4019498825073242
Config_08_BigBatch,16,0.001,128,1.0,1.0,8,0.3455393314361572
Config_09_BigBatch2,16,0.005,256,1.0,1.0,6,0.28624844551086426
Config_10_BigLarge,16,0.01,256,1.0,1.0,6,0.27953267097473145
Config_11_VeryBig,32,0.001,64,1.0,1.0,16,0.3552286624908447
Config_12_VeryBig2,32,0.005,128,1.0,1.0,6,0.13977766036987305
Config_06_BaseLR,8,0.01,128,1.0,0.8,6,0.3948333263397217
