global_rank,micronode_id,score,bairro,regional,faction,longitude,latitude,local_street_pressure,nearby_streets_count,nearby_streets
43,Frei Damião,72.352,JUAZEIRO DO NORTE,interior,PCC,-39.33711433333334,-7.254219714285715,5.112,14,FREI DAMIÃO; RUA MARIA TAVARES NOCA; RUA ANA MARIA DUARTE
44,Salesianos,72.241,JUAZEIRO DO NORTE,interior,CV,-39.32501874468086,-7.209594425531915,5.171,16,SALESIANOS; AVENIDA PADRE CÍCERO; RUA FISCAL JOSÉ SOARES
45,Mutirão,71.988,JUAZEIRO DO NORTE,interior,PCC,-39.34112122222222,-7.235104000000001,4.92,12,MUTIRÃO; RUA Mᵃ. GENEROSA DE ALMEIDA; RUA JOSÉ ROMEIRO FEIJOEIRO
46,Baixa da Raposa,71.895,JUAZEIRO DO NORTE,interior,PCC,-39.33474714285715,-7.260922428571429,5.013,8,BAIXA DA RAPOSA; RUA ANTÔNIO CORTÊZ DE ALENCAR; RUA RENAN CARVALHO
47,Timbaúba,71.76,JUAZEIRO DO NORTE,interior,PCC,-39.301542184210525,-7.2154447631578975,4.691,14,TIMBAÚBA; RUA ASSIS DIAS SOBREIRA; AREA SEM NOME
48,Alto,71.722,JUAZEIRO DO NORTE,interior,CV,-39.312726875,-7.205163812500001,4.784,15,ALTO; ERRO_API_KEY; RUA DO SEMINÁRIO
49,VILA FATIMA,70.424,JUAZEIRO DO NORTE,interior,PCC,-39.29991402222222,-7.207199266666667,3.328,11,VILA FATIMA; AREA SEM NOME; RUA ASSIS DIAS SOBREIRA
50,São José,70.212,JUAZEIRO DO NORTE,interior,CV,-39.34910941666667,-7.229535208333334,3.245,9,SÃO JOSÉ; TRAVESSA SÃO JOSÉ; AVENIDA CICERO GONÇALVES
51,Conj. Barro Branco 1,69.968,JUAZEIRO DO NORTE,interior,PCC,-39.378038200000006,-7.2435856,3.251,7,CONJ. BARRO BRANCO 1; RUA PEDRO AGOSTINHO DE SOUSA; RUA 05 ERNANDO RIBEIRO DA CRUZ
52,Socorro,69.931,JUAZEIRO DO NORTE,interior,CV,-39.32336263888889,-7.202973916666666,3.161,11,SOCORRO; SALESIANOS; AVENIDA PADRE CÍCERO
53,Bairro Limoeiro,69.802,JUAZEIRO DO NORTE,interior,CV,-39.30056788235294,-7.224925588235293,2.998,10,BAIRRO LIMOEIRO; TIMBAÚBA; RUA ASSIS DIAS SOBREIRA
54,Campo Alegre,69.648,JUAZEIRO DO NORTE,interior,CV,-39.287976138888894,-7.2508061111111095,2.724,7,CAMPO ALEGRE; RUA JOÃO PEREIRA DE CARVALHO; RUA FRANCISCO MEDEIROS DA SILVA
55,ÁREA DE INFLUÊNCIA DO PCC,69.578,JUAZEIRO DO NORTE,interior,PCC,-39.374815468181815,-7.225181972727273,2.188,5,ÁREA DE INFLUÊNCIA DO PCC; RUA DOUTOR FRANCISCO ESMERALDO DE MELO; RUA PEDRO GOMES DE NORÕES
56,SÃO JOSÉ X COM JN,69.514,JUAZEIRO DO NORTE,interior,CV,-39.363320996296295,-7.234312781481482,2.623,6,SÃO JOSÉ X COM JN; RUA PADRE FREDERICO; RUA JOÃO AVELINO SOARES
57,Bairro da Malvinas - Barbalha,69.413,JUAZEIRO DO NORTE,interior,CV,-39.28155913636363,-7.303047386363636,1.874,5,BAIRRO DA MALVINAS - BARBALHA; AV. LUIZ GONZAGA; RUA P-18
58,Bulandeira - Barbalha,69.162,JUAZEIRO DO NORTE,interior,CV,-39.31173175,-7.293588833333332,1.712,4,BULANDEIRA - BARBALHA; AVENIDA PAULO MARQUÊS; RUA PROJETADA | M
59,Lagoa Seca- Juazeiro do Norte,68.883,JUAZEIRO DO NORTE,interior,CV,-39.32613322222223,-7.247637000000002,2.191,7,LAGOA SECA- JUAZEIRO DO NORTE; AVENIDA LEÃO SAMPAIO; RUA JÚLIA JORGE COUTO
60,Residencial São Sebastião,68.851,JUAZEIRO DO NORTE,interior,CV,-39.271257142857145,-7.230486142857143,2.199,4,RESIDENCIAL SÃO SEBASTIÃO; AREA SEM NOME; RESIDENCIAL NOSSA SENHORA DAS DORES - JUAZEIRO DO NORTE
61,Levada,63.477,MESSEJANA,capital,CV,-38.48783283333333,-3.8251020000000007,14.022,56,LEVADA; RUA DOUTOR JOAQUIM BENTO; RUA VICENTE NOBRE MACÊDO
62,Conjunto São Bernardo,62.798,MESSEJANA,capital,MASSA,-38.49008374999999,-3.8185046250000005,13.079,51,CONJUNTO SÃO BERNARDO; RUA CECÍLIA MEIRELES; RUA NICOLAU COELHO
63,Favela do Bical,62.546,BARRA DO CEARÁ,capital,CV,-38.57510290909091,-3.7048302727272726,26.019,91,FAVELA DO BICAL; CONDOMÍNIO DA 6 (COMPLEXO DA BARRA DO CEARÁ); FAVELA DA CIRANDAR
