modelo,rank,bairro,score,cvli_ewma_7d,cvli_ewma_14d,cvli_ewma_30d,hist_pct,target_enc,intel_ewma_14d
SHORT20_MIX,3,JANGURURSSU,0.690769,0.009669,0.015738,0.017862,1.0,0.096296,0.0
SHORT20_MIX,4,JOSE DE ALENCAR,0.630947,0.02179,0.029335,0.039659,0.435897,0.02716,0.113153
SHORT20_MIX,5,PRAIA DO FURUTO II,0.590725,0.031722,0.028052,0.018504,0.410256,0.026543,0.0
SHORT20_MIX,6,PARQUE DOIS IRMAOS,0.573501,0.031926,0.030445,0.025093,0.205128,0.02037,0.0
SHORT20_MIX,7,BONSUCESSO,0.521592,0.014434,0.020221,0.020047,0.512821,0.02963,0.014464
SHORT20_MIX,8,MONDUBIM,0.51656,7e-05,0.001855,0.011295,0.846154,0.05679,0.366633
SHORT20_MIX,9,SIQUEIRA,0.50957,0.002668,0.008157,0.011981,0.820513,0.048148,0.029463
SHORT20_MIX,10,CAJAZEIRAS,0.505183,0.014093,0.026332,0.027331,0.230769,0.021605,0.001197
SHORT20_MIX,11,PREFEITO JOSE WALTER,0.493977,0.0,0.000156,0.004147,0.897436,0.062963,0.0
SHORT20_MIX,12,BARROSO,0.483058,0.000209,0.00298,0.013265,0.794872,0.044444,0.095825
SHORT20_MIX,13,PASSARE,0.437075,1.6e-05,0.000717,0.005178,0.74359,0.040123,0.398071
SHORT20_MIX,14,QUINTINO CUNHA,0.435719,2e-06,0.000303,0.00427,0.769231,0.041358,0.186949
SHORT20_MIX,15,ANCURI,0.421306,0.013011,0.017964,0.015337,0.153846,0.019136,1.1e-05
SHORT20_MIX,16,LAGOA REDONDA,0.418716,1.1e-05,0.000995,0.011139,0.641026,0.033951,0.355511
SHORT20_MIX,17,GRANJA PORTUGAL,0.389104,1.7e-05,0.0007,0.004045,0.666667,0.035185,0.005594
SHORT20_MIX,18,CANINDEZINHO,0.384721,0.000368,0.003074,0.008888,0.461538,0.02716,0.753101
SHORT20_MIX,19,CURIO,0.373156,0.003295,0.010435,0.018501,0.076923,0.016049,0.553088
SHORT20_MIX,20,PAPICU,0.273832,6.2e-05,0.001239,0.004317,0.102564,0.016667,0.000463
SHORT20_MIX,21,GRANJA LISBOA,0.26048,6e-06,0.000419,0.00336,0.923077,0.067901,0.658029
SHORT20_MIX,22,PLANALTO AYRTON SENNA,0.225071,0.0,5.6e-05,0.002461,0.871795,0.057407,9e-06
SHORT20_MIX,23,CIRSTO REDENTOR,0.143213,0.0,0.0,0.000198,0.717949,0.035802,0.0
SHORT20_MIX,24,VICENTE PINZON,0.13526,0.0,3.9e-05,0.00137,0.692308,0.035185,0.106378
SHORT20_MIX,25,PICI,0.119039,0.0,1.2e-05,0.000615,0.615385,0.033333,0.002812
SHORT20_MIX,26,BOM JARDIM,0.111732,0.0,9e-05,0.0014,0.589744,0.030864,0.022012
SHORT20_MIX,27,CARLITO PAMPLONA,0.111635,5e-06,0.000354,0.002936,0.538462,0.02963,0.017308
SHORT20_MIX,28,JARDIM DAS OLIVEIRAS,0.110602,0.0,6e-06,0.000686,0.564103,0.030864,0.000271
SHORT20_MIX,29,CONJUNTO PALMEIRAS,0.09573,0.0,4e-06,0.000546,0.487179,0.029012,0.000513
SHORT20_MIX,30,MANOEL SATIRO,0.083493,0.0,3.3e-05,0.00214,0.384615,0.026543,0.0
SHORT20_MIX,31,VILA VELHA,0.082612,0.0,4.9e-05,0.001922,0.358974,0.026543,0.530568
SHORT20_MIX,32,PAUPINA,0.07238,0.0,2.5e-05,0.001077,0.307692,0.024691,0.234564
SHORT20_MIX,33,EDSON QUEIROZ,0.067773,0.0,9e-06,0.000683,0.333333,0.026543,0.000443
SHORT20_MIX,34,ANTONIO BEZERRA,0.067754,2e-06,0.000223,0.00244,0.282051,0.024691,0.020269
SHORT20_MIX,35,CENTRO,0.060505,1e-06,0.000226,0.003878,0.25641,0.024074,0.538799
SHORT20_MIX,36,PIRAMBU,0.032505,0.0,0.0,6.1e-05,0.179487,0.019753,0.585625
SHORT20_MIX,37,VILA PERY,0.023822,0.0,1e-06,0.000131,0.128205,0.018519,0.0
SHORT20_MIX,38,FLORESTA,0.013973,0.0,6e-05,0.001041,0.051282,0.016049,0.043258
SHORT20_MIX,39,CIDADE DOS FUNCIONARIOS,0.007473,0.0,0.0,5e-06,0.025641,0.014815,0.0
SHORT20_MIX,40,PARQUE SAO JOSE,0.0,0.0,0.0,7.1e-05,0.0,0.01358,0.002685
