family,p10,p20,r10,r20,regime_gate
CVLI_TACTICAL_ONLY,0.2244186046511628,0.15523255813953488,0.5326135105204872,0.6868770764119602,0.008288846349677526
CVLI_STRUCT_TACTICAL,0.21511627906976744,0.13837209302325582,0.5121677740863787,0.62390642303433,0.008288846349677526
CVLI_FIRST_WITH_WEAK_CVP_CONTEXT,0.20116279069767443,0.1377906976744186,0.4850913621262458,0.6215808416389812,0.008288846349677526
CVLI_STRUCT_TACTICAL_RANKER,0.19069767441860466,0.13837209302325582,0.46475636766334444,0.62390642303433,0.008288846349677526
CVLI_FIRST_DYNAMIC_GATE,0.18023255813953487,0.13895348837209304,0.4486987818383167,0.6258444075304541,0.008288846349677526
CVLI_STRUCTURAL_ONLY,0.17790697674418607,0.11860465116279072,0.44413067552602437,0.5424695459579181,0.008288846349677526
