family,p10,p20,r10,r20
SHORT20_MIX,0.20348837209302326,0.16104651162790698,0.44143133997785156,0.6934108527131783
SHORT25_MIX,0.20348837209302326,0.15930232558139534,0.44143133997785156,0.7045127353266888
BASELINE_MIX,0.20348837209302326,0.14825581395348839,0.44143133997785156,0.6538759689922481
SHORT15_MIX,0.1930232558139535,0.1622093023255814,0.41586378737541524,0.7401578073089701
SHORT12_MIX,0.18488372093023256,0.15930232558139534,0.4103405315614618,0.7255121816168327
SHORT25_RERANK,0.17790697674418607,0.1569767441860465,0.44413067552602437,0.6998892580287929
SHORT20_RERANK,0.1744186046511628,0.14127906976744187,0.3871816168327797,0.6330426356589147
SHORT15_RERANK,0.16279069767441862,0.14767441860465116,0.3673034330011074,0.6591085271317829
SHORT12_RERANK,0.1616279069767442,0.14767441860465116,0.36564230343300114,0.6522148394241417
