w_ewma,w_lgbm,w_hist,w_target,p10,p20,r10,r20
0.6,0.2,0.2,0.0,0.23255813953488377,0.14534883720930233,0.5451135105204872,0.6559108527131783
0.6,0.0,0.2,0.2,0.2279069767441861,0.14709302325581394,0.5383305647840532,0.6502768549280177
0.6,0.1,0.2,0.1,0.2279069767441861,0.1441860465116279,0.5373615725359911,0.6419712070874861
0.6,0.0,0.3,0.1,0.2279069767441861,0.1436046511627907,0.5383305647840532,0.6403100775193798
0.6,0.2,0.1,0.1,0.22674418604651167,0.1517441860465116,0.5098421926910299,0.6772978959025471
0.5,0.0,0.0,0.5,0.22674418604651167,0.14709302325581394,0.5366002214839424,0.6502768549280177
0.6,0.1,0.3,0.0,0.22674418604651167,0.1436046511627907,0.536392580287929,0.6403100775193798
0.6,0.3,0.1,0.0,0.22558139534883728,0.14825581395348839,0.5098421926910298,0.6670542635658915
0.6,0.0,0.4,0.0,0.22325581395348845,0.1436046511627907,0.5305786267995569,0.6403100775193798
0.5,0.1,0.0,0.4,0.222093023255814,0.14709302325581394,0.5291251384274639,0.6502768549280177
0.5,0.2,0.2,0.1,0.222093023255814,0.1441860465116279,0.5291251384274639,0.650373754152824
0.5,0.0,0.1,0.4,0.222093023255814,0.1436046511627907,0.5291251384274639,0.6403100775193798
0.5,0.1,0.1,0.3,0.222093023255814,0.1436046511627907,0.5291251384274639,0.6403100775193798
0.5,0.0,0.2,0.3,0.222093023255814,0.14302325581395348,0.5291251384274639,0.6383720930232558
0.5,0.2,0.3,0.0,0.222093023255814,0.14186046511627906,0.5291251384274639,0.6409606866002214
0.4,0.0,0.0,0.6,0.222093023255814,0.14186046511627906,0.5291251384274639,0.6344961240310077
0.5,0.0,0.3,0.2,0.222093023255814,0.14127906976744184,0.5291251384274639,0.6325581395348837
0.4,0.0,0.1,0.5,0.222093023255814,0.14069767441860462,0.5291251384274639,0.6311046511627907
0.4,0.1,0.0,0.5,0.222093023255814,0.14069767441860462,0.5291251384274639,0.6311046511627907
0.5,0.1,0.2,0.2,0.222093023255814,0.14069767441860462,0.5291251384274639,0.6311046511627907
0.5,0.1,0.3,0.1,0.222093023255814,0.14011627906976745,0.5291251384274639,0.6294435215946844
0.4,0.0,0.2,0.4,0.222093023255814,0.1383720930232558,0.5291251384274639,0.62390642303433
0.5,0.0,0.4,0.1,0.222093023255814,0.1383720930232558,0.5291251384274639,0.62390642303433
0.4,0.1,0.1,0.4,0.222093023255814,0.13662790697674418,0.5291251384274639,0.6162652270210409
0.5,0.0,0.5,0.0,0.222093023255814,0.13604651162790696,0.5291251384274639,0.6146040974529347
0.5,0.1,0.4,0.0,0.222093023255814,0.13604651162790696,0.5291251384274639,0.6146040974529347
0.6,0.3,0.0,0.1,0.22093023255813957,0.15174418604651163,0.487749169435216,0.6772978959025471
0.6,0.4,0.0,0.0,0.22093023255813957,0.14825581395348839,0.487749169435216,0.6673311184939091
0.5,0.3,0.2,0.0,0.22093023255813957,0.14360465116279067,0.5274640088593577,0.6525885935769656
0.4,0.0,0.3,0.3,0.2186046511627908,0.13604651162790696,0.5174972314507198,0.6146040974529347
0.4,0.1,0.2,0.3,0.2186046511627908,0.13604651162790696,0.5174972314507198,0.6146040974529347
0.4,0.1,0.3,0.2,0.2186046511627908,0.13604651162790696,0.5174972314507198,0.6146040974529347
0.6,0.1,0.1,0.2,0.21860465116279074,0.14709302325581394,0.4811600221483942,0.6502768549280177
0.4,0.2,0.0,0.4,0.21860465116279074,0.14244186046511628,0.5184662236987818,0.6448366555924695
0.4,0.2,0.2,0.2,0.21744186046511635,0.14011627906976745,0.515171650055371,0.6355343300110742
0.4,0.2,0.1,0.3,0.2162790697674419,0.14011627906976742,0.5107142857142857,0.633983942414175
0.5,0.2,0.0,0.3,0.2151162790697675,0.14593023255813953,0.5114894795127353,0.6597868217054264
0.5,0.3,0.0,0.2,0.2151162790697675,0.14593023255813953,0.5114894795127353,0.6597868217054264
0.5,0.2,0.1,0.2,0.2151162790697675,0.14534883720930233,0.5114894795127353,0.6559108527131783
0.5,0.4,0.1,-0.0,0.2151162790697675,0.1441860465116279,0.5137043189368771,0.6584025470653377
0.4,0.3,0.0,0.3,0.2151162790697675,0.14360465116279067,0.5083887043189368,0.6525885935769656
0.4,0.0,0.4,0.2,0.2151162790697675,0.13604651162790696,0.5119601328903655,0.6146040974529347
0.8,0.0,0.2,-0.0,0.21511627906976744,0.15,0.46755260243632335,0.6589285714285714
0.4,0.3,0.1,0.2,0.21395348837209308,0.14302325581395348,0.5076135105204872,0.6502630121816168
0.4,0.3,0.2,0.1,0.21395348837209308,0.14127906976744184,0.5089700996677741,0.6432862679955703
0.5,0.4,0.0,0.1,0.21395348837209305,0.1447674418604651,0.509828349944629,0.656187707641196
0.5,0.3,0.1,0.1,0.21395348837209305,0.14360465116279067,0.509828349944629,0.6525885935769656
0.8,0.1,0.1,-0.0,0.21395348837209302,0.1517441860465116,0.4639673311184939,0.6665697674418604
0.8,0.0,0.1,0.1,0.21395348837209302,0.14941860465116277,0.46367663344407534,0.657765780730897
0.5,0.5,0.0,0.0,0.21279069767441866,0.1453488372093023,0.5040143964562569,0.6626661129568107
0.4,0.3,0.3,0.0,0.21279069767441866,0.14127906976744184,0.5073089700996678,0.6432862679955703
0.3,0.2,0.0,0.5,0.21279069767441866,0.14069767441860465,0.5073089700996678,0.6394102990033222
0.3,0.2,0.1,0.4,0.21279069767441866,0.13953488372093023,0.5073089700996678,0.6316583610188261
0.3,0.0,0.0,0.7,0.21279069767441866,0.1383720930232558,0.5073089700996678,0.62390642303433
0.4,0.2,0.3,0.1,0.21279069767441866,0.13779069767441862,0.5073089700996678,0.6231312292358804
0.3,0.0,0.1,0.6,0.21279069767441866,0.13604651162790696,0.5073089700996678,0.6146040974529347
0.3,0.0,0.2,0.5,0.21279069767441866,0.13604651162790696,0.5073089700996678,0.6146040974529347
0.3,0.1,0.0,0.6,0.21279069767441866,0.13604651162790696,0.5073089700996678,0.6146040974529347
0.3,0.1,0.1,0.5,0.21279069767441866,0.13604651162790696,0.5073089700996678,0.6146040974529347
0.4,0.0,0.5,0.1,0.21279069767441866,0.13604651162790696,0.5073089700996678,0.6146040974529347
0.4,0.1,0.4,0.1,0.21279069767441866,0.13604651162790696,0.5073089700996678,0.6146040974529347
0.3,0.1,0.2,0.4,0.21279069767441866,0.13546511627906976,0.5073089700996678,0.6116971207087486
0.4,0.2,0.4,-0.0,0.21279069767441866,0.13546511627906976,0.5073089700996678,0.6116971207087486
0.4,0.1,0.5,0.0,0.21279069767441866,0.13488372093023257,0.5073089700996678,0.6087901439645625
0.4,0.0,0.6,0.0,0.21279069767441866,0.13430232558139538,0.5073089700996678,0.6058831672203765
0.6,0.2,0.0,0.2,0.2127906976744186,0.15290697674418605,0.4615863787375415,0.6847729789590254
0.8,0.0,0.0,0.2,0.21279069767441858,0.15465116279069765,0.46009136212624585,0.7101744186046512
0.6,0.0,0.1,0.3,0.21162790697674422,0.14709302325581394,0.4598421926910299,0.6502768549280177
0.9,0.0,0.0,0.1,0.21162790697674413,0.15813953488372096,0.4620155038759689,0.7266472868217053
0.8,0.1,0.0,0.1,0.21162790697674413,0.15290697674418602,0.4552464008859357,0.6944490586932448
0.8,0.2,0.0,-0.0,0.21162790697674413,0.14825581395348839,0.4574058693244741,0.6657392026578073
0.6,0.0,0.0,0.4,0.21046511627906983,0.15,0.45181339977851603,0.6589285714285714
0.4,0.4,0.1,0.1,0.21046511627906983,0.14302325581395348,0.5014119601328904,0.6502630121816168
