id,data,bairro_assigned,cidade_norm,latitude,longitude,tipo,tipo_evento
9587,2025-02-14,Bom Jardim,fortaleza,-3.7949708477,-38.5927142047,cvli,HOMICIDIO DOLOSO
9591,2025-02-14,Planalto Ayrton Senna,fortaleza,-3.8374506961,-38.5691423342,cvli,HOMICIDIO DOLOSO
9592,2025-02-14,Novo Mondubim,fortaleza,-3.8127708078,-38.5824992766,cvli,HOMICIDIO DOLOSO
9593,2025-02-15,Lagoa Redonda,fortaleza,-3.8285851228,-38.4646922208,cvli,HOMICIDIO DOLOSO
9600,2025-02-16,Papicu,fortaleza,-3.7376314601,-38.4770879919,cvli,HOMICIDIO DOLOSO
9601,2025-02-16,Salinas,fortaleza,-3.7717876794,-38.5013993631,cvli,HOMICIDIO DOLOSO
9603,2025-02-16,Moura Brasil,fortaleza,-3.715879772,-38.5411844505,cvli,HOMICIDIO DOLOSO
9604,2025-02-16,Canindezinho,fortaleza,-3.8124250605,-38.6052992631,cvli,HOMICIDIO DOLOSO
9605,2025-02-16,Presidente Kennedy,fortaleza,-3.7252670901,-38.5694658615,cvli,HOMICIDIO DOLOSO
9619,2025-02-18,Dias Macêdo,fortaleza,-3.7875162697,-38.5265106322,cvli,HOMICIDIO DOLOSO
9628,2025-02-19,Presidente Kennedy,fortaleza,-3.7286343779,-38.574433875,cvli,HOMICIDIO DOLOSO
9630,2025-02-19,Conjunto Ceará Ii,fortaleza,-3.7744519684,-38.6169605327,cvli,HOMICIDIO DOLOSO
9632,2025-02-20,José Bonifácio,fortaleza,-3.7366920601,-38.5251650192,cvli,HOMICIDIO DOLOSO
9635,2025-02-20,Jardim Das Oliveiras,fortaleza,-3.7847052853,-38.5069343039,cvli,HOMICIDIO DOLOSO
9638,2025-02-21,Parque Iracema,fortaleza,-3.8038487234,-38.4935163189,cvli,ROUBO SEGUIDO DE MORTE (LATROCINIO)
9641,2025-02-21,José De Alencar,fortaleza,-3.8141792454,-38.4796619629,cvli,HOMICIDIO DOLOSO
9642,2025-02-21,Passaré,fortaleza,-3.8214029663,-38.5244588766,cvli,HOMICIDIO DOLOSO
9644,2025-02-22,Cajazeiras,fortaleza,-3.8124371019,-38.5103417162,cvli,HOMICIDIO DOLOSO
9650,2025-02-23,Parque Presidente Vargas,fortaleza,-3.8212254936,-38.6005664863,cvli,HOMICIDIO DOLOSO
9657,2025-02-24,Barra Do Ceará,fortaleza,-3.6990572898,-38.581349175,cvli,HOMICIDIO DOLOSO
9658,2025-02-24,Vila Peri,fortaleza,-3.7890624693,-38.5750147327,cvli,HOMICIDIO DOLOSO
9660,2025-02-24,Jangurussu,fortaleza,-3.8374678818,-38.5038674462,cvli,HOMICIDIO DOLOSO
9664,2025-02-25,Itaoca,fortaleza,-3.7741338906,-38.553436075,cvli,HOMICIDIO DOLOSO
9665,2025-02-25,Edson Queiroz,fortaleza,-3.773360085,-38.4740778039,cvli,HOMICIDIO DOLOSO
9666,2025-02-25,Henrique Jorge,fortaleza,-3.7574678789,-38.578878175,cvli,HOMICIDIO DOLOSO
