Controle,Data,Natureza,BairroOcor,bairro_norm,CidadeOcor,total_armas_cache,total_drogas_cache,Dinheiro_Apreendido,lat_ibge,long_ibge
35253,2025-06-03,APRESENTAÇÃO E APREENSÃO DE MUNIÇÃO,Lagoa Park,Lagoa Redonda,Iguatu,0,0.0,,,
35254,2025-06-03,TRÁFICO DE DROGAS,Bairro Lagoa,Barroso,Jaguaruana,0,93.0,,,
35255,2025-06-03,MARIA DA PENHA - Lei nº 11.340/2006,Centro,Centro,Aquiraz,0,0.0,,,
35256,2025-06-04,VEÍCULO LOCALIZADO,Zona Rural,Granja Portugal,São Benedito,0,0.0,,,
35257,2025-06-04,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Pentecoste,1,0.0,,,
35258,2025-06-04,VEÍCULO CLONADO,Zona Rural,Granja Portugal,Viçosa do Ceará,0,0.0,,,
35259,2025-06-04,APRESENTAÇÃO E APREENSÃO DE MUNIÇÃO,Zona Rural,Granja Portugal,Pentecoste,0,0.0,,,
35260,2025-06-04,TRÁFICO DE DROGAS; ORGANIZAÇÃO CRIMINOSA - Art. 2°/ Lei nº 12.850/2013,Carrapicho,Maraponga,Caucaia,0,120.0,85.0,,
35261,2025-06-04,VEÍCULO LOCALIZADO,Centro,Centro,Fortaleza,0,0.0,,,
35262,2025-06-04,APRESENTAÇÃO E APRRENSÃO DE OBJETOS,Barra do Ceará,Barra Do Ceará,Fortaleza,0,0.0,,,
35264,2025-06-04,VEÍCULO CLONADO,Jardim Osasis,Jardim Das Oliveiras,Iguatu,0,0.0,,,
35267,2025-06-04,RECEPTAÇÃO - Art. 180/CPB,Barroso,Barroso,Fortaleza,0,0.0,,,
35269,2025-06-04,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,Maleitas,Salinas,Paracuru,0,0.0,,,
35270,2025-06-04,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Barros,Barroso,Aracati,1,0.0,,,
35271,2025-06-04,APRESENTAÇÃO E APREENSÃO DE DROGAS; APRESENTAÇÃO E APRRENSÃO DE OBJETOS; RECEPTAÇÃO - Art. 180/CPB,Barroso,Barroso,Fortaleza,0,36.0,178.0,,
35272,2025-06-04,TRÁFICO DE DROGAS,Presidente Vargas,Parque Presidente Vargas,Fortaleza,0,8.0,41.0,,
35274,2025-06-04,VEÍCULO LOCALIZADO,Pavuna,Paupina,Pacatuba,0,0.0,,,
35275,2025-06-04,APRESENTAÇÃO E APREENSÃO DE DROGAS,Cristo Redentor,Cristo Redentor,Fortaleza,0,35.6,,,
35276,2025-06-04,ROUBO,Aldeota,Aldeota,Fortaleza,0,0.0,,,
35278,2025-06-04,TRÁFICO DE DROGAS,Conjunto Nova Esperança,Conjunto Esperança,Paracuru,0,37.0,62.0,,
35279,2025-06-04,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Alto Algre II,Conjunto Ceará Ii,Maracanaú,1,0.0,,,
35280,2025-06-04,TRÁFICO DE DROGAS,Jangurussu,Jangurussu,Fortaleza,0,169.0,652.05,,
35281,2025-06-05,MANDADO DE PRISÃO,Papicu,Papicu,Fortaleza,0,0.0,,,
35282,2025-06-05,VEÍCULO LOCALIZADO,Monte Castelo,Monte Castelo,Fortaleza,0,0.0,,,
35283,2025-06-05,POSSE DE DROGA PARA CONSUMO - Art. 28/ Lei nº 11.343/2006,Barra Grande,Padre Andrade,Icapuí,0,0.9,,,
35284,2025-06-05,APRESENTAÇÃO E APREENSÃO DE DROGAS,Pirambu,Pirambu,Fortaleza,0,47.5,,,
35286,2025-06-05,DIREÇÃO PERIGOSA - Art.175/CTB; DESOBEDIÊNCIA - Art. 330/CPB,Zona Rural,Granja Portugal,Várzea Alegre,0,0.0,,,
35287,2025-06-05,MANDADO DE PRISÃO; POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; ,Passagem,Passaré,Quixeramobim,1,0.0,,,
35288,2025-06-05,DIREÇÃO PERIGOSA - Art.175/CTB,Genibaú,Genibaú,Fortaleza,0,0.0,,,
35290,2025-06-05,RECEPTAÇÃO - Art. 180/CPB,Zona Rural,Granja Portugal,Camocim,0,0.0,,,
35292,2025-06-05,TRÁFICO DE DROGAS,Centro,Centro,Paracuru,0,66.0,,,
35293,2025-06-05,APRESENTAÇÃO E APREENSÃO DE VEÍCULO,Bica,Benfica,Cascavel,0,0.0,,,
35294,2025-06-05,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Pires Ferreira,2,0.0,,,
35295,2025-06-05,RECEPTAÇÃO - Art. 180/CPB,Rodolfo Teófilo,Rodolfo Teófilo,Fortaleza,0,0.0,,,
35296,2025-06-05,RECEPTAÇÃO - Art. 180/CPB,João Paulo II,João Xxiii,Fortaleza,0,0.0,,,
35297,2025-06-05,VEÍCULO LOCALIZADO,Zona Rural,Granja Portugal,Morada Nova,0,0.0,,,
