Controle,Data,Natureza,BairroOcor,bairro_norm,CidadeOcor,total_armas_cache,total_drogas_cache,Dinheiro_Apreendido,lat_ibge,long_ibge
6862,2022-01-01,TRÁFICO DE DROGAS,Jacarecanga,Jacarecanga,Fortaleza,0,65.0,65.0,,
6863,2022-01-01,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Sapiranga,Sapiranga / Coité,Fortaleza,1,0.0,,,
6865,2022-01-01,NÃO DELITUOSO,Centro,Centro,Baturité,0,0.0,,,
6866,2022-01-01,TRÁFICO DE DROGAS,Alto Guaramiranga,Alto Da Balança,Canindé,0,3.0,856.55,,
6867,2022-01-01,DIRIGIR VEÍCULO AUTOMOTOR SEM HABILITAÇÃO - Art. 309/CTB; EMBRIAGUEZ AO VOLANTE - Art. 306/CTB; DESOBEDIÊNCIA - Art. 330/CPB,Sapiranga,Sapiranga / Coité,Fortaleza,0,0.0,,,
6868,2022-01-01,VEÍCULO LOCALIZADO,Conjunto Industrial,Conjunto Ceará Ii,Maracanaú,0,0.0,,,
6869,2022-01-01,OUTROS,João Paulo II,João Xxiii,Iguatu,0,0.0,,,
6871,2022-01-01,"PORTE DE ARMA DE FOGO COM NUMERAÇÃO RASPADA - Art.16, 1º, IV/Lei nº 10.826/2003",Messejana,Messejana,Fortaleza,1,0.0,,,
6873,2022-01-01,RECEPTAÇÃO - Art. 180/CPB,Barra do Ceará,Barra Do Ceará,Fortaleza,0,0.0,,,
6874,2022-01-01,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; CONSUMO DE ENTORPECENTES - Art. 28/Lei nº 11.343/2006,Romeirão,Parreão,Juazeiro do Norte,2,36.0,,,
6875,2022-01-02,NÃO DELITUOSO,José de Alencar,José De Alencar,Fortaleza,0,0.0,,,
6876,2022-01-02,TRÁFICO DE DROGAS,Pilões,Meireles,Morrinhos,0,46.0,367.0,,
6877,2022-01-02,TRÁFICO DE DROGAS; OUTROS,Zona Rural,Granja Portugal,Acopiara,1,0.0,,,
6878,2022-01-02,RECEPTAÇÃO - Art. 180/CPB,Frei Damião,Farias Brito,Juazeiro do Norte,0,0.0,,,
6880,2022-01-02,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,Paupina,Paupina,Fortaleza,0,0.0,,,
6881,2022-01-02,MARIA DA PENHA - Lei nº 11.340/2006,Araturi,Cararu,Caucaia,0,0.0,,,
6882,2022-01-02,APRESENTAÇÃO E APREENSÃO DE DROGAS,Araturi,Cararu,Caucaia,0,64.0,,,
6883,2022-01-02,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Zona Rural,Granja Portugal,Hidrolândia,2,0.0,,,
6884,2022-01-02,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO; APRESENTAÇÃO E APREENSÃO DE DROGAS,Paraná,Parangaba,Iguatu,1,6.0,,,
6885,2022-01-02,ROUBO,Barra Do Ceará,Barra Do Ceará,Fortaleza,0,0.0,105.0,,
6886,2022-01-02,FURTO - Art. 155/CPB,Fátima,Fátima,Fortaleza,0,0.0,,,
6887,2022-01-03,POSSE DE DROGA PARA CONSUMO - Art. 28/ Lei nº 11.343/2006,Capilé,Aracapé,Brejo Santo,0,11.0,,,
6888,2022-01-03,VEÍCULO LOCALIZADO,Vila Peri,Vila Peri,Fortaleza,0,0.0,,,
6889,2022-01-03,TRÁFICO DE DROGAS; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Genibaú,Genibaú,Fortaleza,1,160.0,134.0,,
6890,2022-01-03,TRÁFICO DE DROGAS,Alto dos 14,Alto Da Balança,Ipu,0,239.0,,,
6891,2022-01-03,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Caetanos,Centro,Beberibe,1,2.0,,,
6892,2022-01-03,APROPRIAÇÃO INDÉBITA -Art.168 /CPB,Fátima,Fátima,Fortaleza,0,0.0,,,
6893,2022-01-03,TRÁFICO DE DROGAS,Zona Rural,Granja Portugal,Camocim,0,36.7,123.8,,
6894,2022-01-03,MANDADO DE PRISÃO,Alto do Motor,Cais Do Porto,Boa Viagem,0,0.0,,,
6895,2022-01-03,TRÁFICO DE DROGAS,Outra Banda,Moura Brasil,Acaraú,0,908.6,,,
6896,2022-01-03,TRÁFICO DE DROGAS,Vicente Pinzon,Vicente Pinzón,Fortaleza,0,0.0,11.0,,
6898,2022-01-03,MANDADO DE PRISÃO,Mondubim,Mondubim,Fortaleza,0,0.0,,,
6899,2022-01-03,ROUBO DE VEÍCULO - Art. 157/COM,Jóquei Clube,Jóquei Clube,Fortaleza,0,0.0,,,
6900,2022-01-03,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Maria Tomásia,Farias Brito,Fortaleza,1,0.0,,,
6902,2022-01-03,"TENTATIVA DE HOMICIDIO - Art. 121 c/c Art. 14, II/CPB",Novo Maracanaú,Novo Mondubim,Maracanaú,1,0.0,,,
6903,2022-01-03,TRÁFICO DE DROGAS,Patacas,Itaoca,Aquiraz,0,60.0,30.0,,
6904,2022-01-03,TRÁFICO DE DROGAS; ASSOCIAÇÃO AO TRÁFICO DE DROGAS - Art. 35/Lei nº 11.343/2006,Centro,Centro,Aquiraz,0,223.0,10.0,,
6905,2022-01-03,POSSE DE DROGA PARA CONSUMO - Art. 28/ Lei nº 11.343/2006,Centro,Centro,Paracuru,0,14.7,285.0,,
6906,2022-01-04,TRÁFICO DE DROGAS,São João do Tauape,São João Do Tauape,Fortaleza,0,34.0,15.0,,
6907,2022-01-05,TRÁFICO DE DROGAS,Monte Alverne,Monte Castelo,Paraipaba,0,113.6,82.0,,
6908,2022-01-04,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Itaperi,Itaperi,Fortaleza,3,0.0,,,
6909,2022-01-04,TRÁFICO DE DROGAS,Bom Jardim,Bom Jardim,Fortaleza,0,10.0,16.0,,
6911,2022-01-04,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Umburanas,Moura Brasil,Mauriti,1,0.0,,,
6912,2022-01-04,TRÁFICO DE DROGAS,Jacarezau,Jacarecanga,Pacatuba,0,6.0,,,
6913,2022-01-04,APRESENTAÇÃO E APREENSÃO DE DROGAS,Planalto Airton Sena,Planalto Ayrton Senna,Fortaleza,0,33.0,,,
6914,2022-01-04,TRÁFICO DE DROGAS,Campo de Aviação,Alto Da Balança,Acaraú,0,18.37,405.0,,
6915,2022-01-05,TRÁFICO DE DROGAS,Placas,Damas,Russas,0,758.0,7.0,,
6916,2022-01-04,VEÍCULO LOCALIZADO,Zona Rurual,Granja Portugal,Sobral,0,0.0,,,
6917,2022-01-04,VEÍCULO LOCALIZADO,Zona Rural,Granja Portugal,Russas,0,0.0,,,
6919,2022-01-04,TRÁFICO DE DROGAS,Nova Esperança,Conjunto Esperança,Paracuru,0,33.0,,,
6920,2022-01-04,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO; TRÁFICO DE DROGAS; INTERVENÇÃO POLICIAL LETAL,Zona Rural,Granja Portugal,Horizonte,1,142.0,,,
6921,2022-01-04,TRÁFICO DE DROGAS,José Walter,Prefeito José Walter,Fortaleza,0,3.0,,,
6922,2022-01-04,"ROUBO COM RESTRIÇÃO DA LIBERDADE - Art. 157, 2º, V/CPB",Centro,Centro,Boa Viagem,1,0.0,11272.0,,
6923,2022-01-04,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Zona Rural,Granja Portugal,Canindé,1,0.0,34.0,,
6924,2022-01-04,TRÁFICO DE DROGAS; PORTE ILEGAL DE MUNIÇÃO DE USO PERMITIDO - Art .14/Lei nº 10.826/2003,Centro,Centro,Acaraú,0,39000.52,90.0,,
6926,2022-01-05,VEÍCULO LOCALIZADO,Parangaba,Parangaba,Fortaleza,0,0.0,,,
6927,2022-01-05,APOIO À AUTORIDADE,Maraponga,Maraponga,Fortaleza,0,0.0,,,
6928,2022-01-05,NÃO DELITUOSO,Piau,Pirambu,Aquiraz,0,0.0,12900.0,,
6929,2022-01-05,TRÁFICO DE DROGAS,Bom Jardim,Bom Jardim,Fortaleza,0,14.0,,,
6931,2022-01-05,"PORTE DE ARMA DE FOGO COM NUMERAÇÃO RASPADA - Art.16, 1º, IV/Lei nº 10.826/2003; RECEPTAÇÃO - Art. 180/CPB; CORRUPÇÃO DE MENORES - Art. 244B/ECA",Pirambu,Pirambu,Fortaleza,3,0.0,50.0,,
6932,2022-01-05,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Boa Vista,Bela Vista,Ipu,1,0.0,,,
6933,2022-01-05,TRÁFICO DE DROGAS,Barrento,Barroso,Itapipoca,0,306.0,1940.0,,
6934,2022-01-06,ROUBO,Jardim das Oliveiras,Jardim Das Oliveiras,Camocim,0,0.0,,,
6935,2022-01-06,TRÁFICO DE DROGAS,Centro,Centro,Moraújo,0,15.0,224.0,,
6936,2022-01-06,DIREÇÃO PERIGOSA - Art.175/CTB,Zona Rural,Granja Portugal,Paracuru,0,0.0,,,
6937,2022-01-06,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Planalto Horizonte,Planalto Ayrton Senna,Horizonte,1,0.0,,,
6938,2022-01-06,TRÁFICO DE DROGAS,Olinda,Aerolândia,Camocim,0,213.0,,,
6939,2022-01-06,RECEPTAÇÃO - Art. 180/CPB,Parque Panorâmico,Parque Santa Maria,Maranguape,0,0.0,,,
6940,2022-01-06,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; TRÁFICO DE DROGAS,Taquara,Parque Araxá,Caucaia,1,14.0,44.0,,
6941,2022-01-06,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO; POSSE DE DROGA PARA CONSUMO - Art. 28/ Lei nº 11.343/2006,Aldeia,Aldeota,Pacajus,1,1.6,,,
6942,2022-01-06,TRÁFICO DE DROGAS; POSSE ILEGAL DE MUNIÇÃO DE USO RESTRITO,Sapiranga,Sapiranga / Coité,Fortaleza,0,95.0,,,
6943,2022-01-06,TRÁFICO DE DROGAS,João Paulo II,João Xxiii,Iguatu,0,658.0,,,
6944,2022-01-06,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Zona Rural,Granja Portugal,Pires Ferreira,1,0.0,,,
6945,2022-01-06,TRÁFICO DE DROGAS; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Maratoan,Maraponga,Crateús,1,116.0,30.0,,
6946,2022-01-06,MANDADO DE PRISÃO,Presidente Vargas,Parque Presidente Vargas,Fortaleza,0,0.0,,,
6947,2022-01-06,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Piraguara,Sabiaguaba,Paracuru,1,0.0,,,
6948,2022-01-06,RECEPTAÇÃO - Art. 180/CPB,Mondubim,Mondubim,Fortaleza,0,0.0,,,
6949,2022-01-06,TRÁFICO DE DROGAS,Centro,Centro,Crateús,0,26.4,,,
6950,2022-01-07,RECEPTAÇÃO - Art. 180/CPB,Luciano Cavalcante,Engenheiro Luciano Cavalcante,Fortaleza,0,0.0,,,
6953,2022-01-07,MANDADO DE PRISÃO,Vila Franco,Vila Uniăo,São Benedito,0,0.0,,,
6956,2022-01-07,MANDADO DE PRISÃO,Canindezinho,Canindezinho,Fortaleza,0,0.0,,,
6957,2022-01-07,NÃO DELITUOSO,Jacarecanga,Jacarecanga,Fortaleza,0,0.0,,,
6958,2022-01-07,PORTE ILEGAL DE ARMA BRANCA - Art. 19/Lei nº 3.688/1941,Centro,Centro,Tianguá,0,0.0,,,
6959,2022-01-07,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Sumaré,Passaré,Sobral,1,0.0,,,
6960,2022-01-07,MANDADO DE PRISÃO,Centro,Centro,Itapajé,0,0.0,,,
6961,2022-01-07,TRÁFICO DE DROGAS,Mutirão,Bom Futuro,Cascavel,0,20.0,,,
6962,2022-01-07,OUTROS,Vila Esperança,Vila Peri,Acopiara,0,0.0,,,
6963,2022-01-07,RECEPTAÇÃO - Art. 180/CPB,Icaraí de Amontada,Carlito Pamplona,Amontada,0,0.0,,,
6965,2022-01-07,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Sumaré,Passaré,Sobral,1,0.0,,,
6967,2022-01-07,TRÁFICO DE DROGAS; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Campo de Aviação,Alto Da Balança,Cariré,1,34.1,,,
6968,2022-01-08,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Canoa Quebrada,Lagoa Redonda,Aracati,1,0.0,,,
6969,2022-01-08,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Genibal,Genibaú,Fortaleza,1,0.0,,,
6970,2022-01-07,TRÁFICO DE DROGAS,Caucaia,Cajazeiras,Caucaia,0,3.0,12.0,,
6971,2022-01-08,,Antônio Bezerra,Antônio Bezerra,Fortaleza,0,0.0,,,
6972,2022-01-08,VEÍCULO LOCALIZADO,Rodolfo Teófilo,Rodolfo Teófilo,Fortaleza,0,0.0,,,
6973,2022-01-08,ROUBO,Padre Andrade,Padre Andrade,Fortaleza,0,0.0,,,
6974,2022-01-08,TRÁFICO DE DROGAS; POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; OUTROS; APOIO A OCORRÊNCIAS  DE OUTRAS UNIDADES,Canoa Quebrada,Lagoa Redonda,Aracati,1,608.0,53.0,,
6975,2022-01-08,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Caixa d'água,Sabiaguaba,Hidrolândia,1,0.0,,,
6976,2022-01-08,OUTROS,Centro,Centro,Iguatu,0,0.0,,,
6978,2022-01-08,CONSUMO DE ENTORPECENTES - Art. 28/Lei nº 11.343/2006,Sitio Piaba,Carlito Pamplona,Mulungu,0,3.3,,,
6979,2022-01-08,MANDADO DE PRISÃO,Pirambu,Pirambu,Fortaleza,0,0.0,,,
6980,2022-01-08,CONSUMO DE ENTORPECENTES - Art. 28/Lei nº 11.343/2006,José Mendes,Couto Fernandes,Tabuleiro do Norte,0,54.0,300.0,,
6981,2022-01-08,"TRÁFICO DE DROGAS; PORTE DE ARMA DE FOGO COM NUMERAÇÃO RASPADA - Art.16, 1º, IV/Lei nº 10.826/2003",Vila Alta,Vila Velha,Crato,1,11.2,4050.0,,
6982,2022-01-08,EMBRIAGUEZ AO VOLANTE - Art. 306/CTB,Itaitinga,Itaoca,Itaitinga,0,0.0,,,
6984,2022-01-09,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO, Castelão,Monte Castelo,Fortaleza,1,0.0,,,
6985,2022-01-09,ROUBO,Centro,Centro,Sobral,0,0.0,415.7,,
6986,2022-01-08,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Parque Jari,Parque Araxá,Maracanaú,1,0.0,,,
6989,2022-01-09,TRÁFICO DE DROGAS; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,São João do Tauape,São João Do Tauape,Fortaleza,1,197.0,25.0,,
6990,2022-01-09,APRESENTAÇÃO E APREENSÃO DE DROGAS,Bom Futuro,Bom Futuro,Fortaleza,0,72.0,,,
6991,2022-01-09,VEÍCULO LOCALIZADO,Bom Jardim,Bom Jardim,Fortaleza,0,0.0,,,
6992,2022-01-09,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Itarema,1,0.0,,,
6993,2022-01-09,VEÍCULO LOCALIZADO,Bom Jardim,Bom Jardim,Fortaleza,0,0.0,,,
6994,2022-01-09,APRESENTAÇÃO E APREENSÃO DE DROGAS,Mondubim,Mondubim,Fortaleza,0,202.0,,,
6995,2022-01-09,"APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO; TENTATIVA DE HOMICIDIO - Art. 121 c/c Art. 14, II/CPB",Planalto Airton Senna,Planalto Ayrton Senna,Fortaleza,1,0.0,,,
6996,2022-01-09,TRÁFICO DE DROGAS; POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Vila Neuma,Vila Velha,Iguatu,1,673.6,1365.2,,
6997,2022-01-09,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Guaraciaba do Norte,1,0.0,,,
6998,2022-01-09,NÃO DELITUOSO,Antônio Bezerra,Antônio Bezerra,Fortaleza,0,0.0,,,
7000,2022-01-09,TRÁFICO DE DROGAS,Mondubim,Mondubim,Fortaleza,0,36.0,68.0,,
7001,2022-01-09,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Canoa Quebrada,Lagoa Redonda,Aracati,1,0.0,,,
7002,2022-01-09,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Distrito São João dos Queiroz,São João Do Tauape,Quixadá,1,0.0,,,
7003,2022-01-09,NÃO DELITUOSO,Vila Nova,Vila Velha,Caucaia,0,0.0,,,
7004,2022-01-09,VEÍCULO LOCALIZADO,Conjunto Industrial,Conjunto Ceará Ii,Maracanaú,0,0.0,,,
7005,2022-01-09,POSSE DE DROGA PARA CONSUMO - Art. 28/ Lei nº 11.343/2006,Centro,Centro,Paracuru,0,22.0,39.0,,
7008,2022-01-09,MANDADO DE PRISÃO,Zona Rural,Granja Portugal,Pedra Branca,0,0.0,,,
7010,2022-01-10,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO; TRÁFICO DE DROGAS; MANDADO DE PRISÃO,Área Verde,Padre Andrade,Itaitinga,2,72.3,355.0,,
7011,2022-01-10,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; TRÁFICO DE DROGAS,Mirambé,Pirambu,Caucaia,1,13.0,,,
7012,2022-01-10,TRÁFICO DE DROGAS,Jacarecanga,Jacarecanga,Fortaleza,0,18.0,5.0,,
7013,2022-01-10,INTERVENÇÃO POLICIAL LETAL; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Zona Rural,Granja Portugal,Aracati,1,177.0,70.0,,
7015,2022-01-10,ROUBO; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Centro,Centro,Sobral,1,0.0,,,
7016,2022-01-10,RECEPTAÇÃO - Art. 180/CPB; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO; TRÁFICO DE DROGAS; ASSOCIAÇÃO CRIMINOSA (FORMAÇÃO DE QUADRILHA) - Art. 288/CPB; SEQUESTRO E CÁRCERE PRIVADO - Art. 148/CPB,Parque Santa Maria,Parque Santa Maria,Fortaleza,1,6380.0,,,
7017,2022-01-10,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Viçosa do Ceará,1,0.0,,,
7019,2022-01-10,INTERVENÇÃO POLICIAL LETAL,Zona Rural,Granja Portugal,Barbalha,1,0.0,,,
7020,2022-01-10,DIREÇÃO PERIGOSA - Art.175/CTB; ,Paupina,Paupina,Fortaleza,0,0.0,,,
7021,2022-01-10,EMBRIAGUEZ AO VOLANTE - Art. 306/CTB,Pompeia,Paupina,Quixeramobim,0,0.0,,,
7022,2022-01-10,ROUBO; MANDADO DE PRISÃO,Zona Rural,Granja Portugal,Barbalha,0,0.0,,,
7023,2022-01-10,VEÍCULO LOCALIZADO,Álvaro Weyne,Álvaro Weyne,Fortaleza,0,0.0,,,
7024,2022-01-10,TRÁFICO DE DROGAS,Maraponga,Maraponga,Fortaleza,0,100.0,122.1,,
7025,2022-01-10,NÃO DELITUOSO,Bom Jardim,Bom Jardim,Fortaleza,0,0.0,,,
7026,2022-01-10,FURTO - Art. 155/CPB; PORTE ILEGAL DE ARMA BRANCA - Art. 19/Lei nº 3.688/1941,São Miguel,São Gerardo,Crato,0,0.0,,,
7027,2022-01-10,"HOMICÍDIO - Art. 121/CPB; PORTE DE ARMA DE FOGO COM NUMERAÇÃO RASPADA - Art.16, 1º, IV/Lei nº 10.826/2003",Centro,Centro,Iracema,1,2.0,234.0,,
7028,2022-01-10,RECEPTAÇÃO - Art. 180/CPB,Zona Rural,Granja Portugal,Tabuleiro do Norte,0,0.0,,,
7029,2022-01-10,MANDADO DE PRISÃO,Henrique Jorge,Henrique Jorge,Fortaleza,0,0.0,,,
7030,2022-01-10,VEÍCULO LOCALIZADO,Panamericano,Panamericano,Fortaleza,0,0.0,,,
7031,2022-01-10,APRESENTAÇÃO E APRRENSÃO DE OBJETOS,Quintino Cunha,Quintino Cunha,Fortaleza,0,0.0,,,
7032,2022-01-10,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Beberibe,1,0.0,,,
7033,2022-01-11,APRESENTAÇÃO E APREENSÃO DE DROGAS,São João do Tauape,São João Do Tauape,Fortaleza,0,16.0,,,
7034,2022-01-11,VEÍCULO LOCALIZADO,Boa Viagem,Bela Vista,Boa Viagem,0,0.0,,,
7036,2022-01-11,CONSUMO DE ENTORPECENTES - Art. 28/Lei nº 11.343/2006,Campo Grande,Couto Fernandes,Caucaia,0,27.0,,,
7037,2022-01-11,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Muxinató,Paupina,Senador Pompeu,2,0.0,,,
7039,2022-01-11,PORTE ILEGAL DE MUNIÇÃO DE USO PERMITIDO - Art .14/Lei nº 10.826/2003; TRÁFICO DE DROGAS,Zona Rural,Granja Portugal,Acaraú,0,3.2,40.0,,
7041,2022-01-11,TRÁFICO DE DROGAS; ASSOCIAÇÃO AO TRÁFICO DE DROGAS - Art. 35/Lei nº 11.343/2006,Santa Tereza,Parque Santa Rosa,Juazeiro do Norte,0,19.0,5410.0,,
7042,2022-01-11,TRÁFICO DE DROGAS,Carrasco,Barroso,Paracuru,0,16.0,220.0,,
7043,2022-01-11,TRÁFICO DE DROGAS,Flores,Floresta,Iguatu,0,57.0,7.6,,
7044,2022-01-11,TRÁFICO DE DROGAS,Quixadá,Siqueira,Quixadá,0,107.0,60.0,,
7045,2022-01-11,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Sítio Nova União,Vila Uniăo,Mombaça,3,0.0,,,
7047,2022-01-11,ROUBO; PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO - Art. 16/Lei nº 10.826/2003,Mondubim,Mondubim,Fortaleza,1,0.0,62.0,,
7049,2022-01-11,"RECEPTAÇÃO - Art. 180/CPB; TENTATIVA DE HOMICIDIO - Art. 121 c/c Art. 14, II/CPB",Area Seca,Aracapé,Maranguape,2,0.0,,,
7050,2022-01-11,TRÁFICO DE DROGAS,Itaitinga,Itaoca,Itaitinga,0,1.0,,,
7051,2022-01-11,VEÍCULO LOCALIZADO,Moura Brasil,Moura Brasil,Fortaleza,0,0.0,,,
7052,2022-01-11,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Nova Acopiara,Olavo Oliveira,Acopiara,1,0.0,,,
7053,2022-01-11,TRÁFICO DE DROGAS; ASSOCIAÇÃO AO TRÁFICO DE DROGAS - Art. 35/Lei nº 11.343/2006,Boa esperança,Conjunto Esperança,Paraipaba,0,25.0,55.0,,
7055,2022-01-12,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO; APRESENTAÇÃO E APREENSÃO DE DROGAS,Barra do Ceará,Barra Do Ceará,Fortaleza,2,39.0,,,
7056,2022-01-11,APRESENTAÇÃO E APREENSÃO DE DROGAS,COHAB,Coaçu,Santa Quitéria,0,20.0,,,
7057,2022-01-12,AMEAÇA - Art. 147/CPB,Centro,Centro,Canindé,0,0.0,,,
7058,2022-01-12,VEÍCULO LOCALIZADO; TRÁFICO DE DROGAS,Bom Jardim,Bom Jardim,Fortaleza,0,475.0,,,
7059,2022-01-12,TRÁFICO DE DROGAS,Serrinha,Serrinha,Fortaleza,0,5.9,35.0,,
7060,2022-01-12,POSSE ILEGAL DE MUNIÇÃO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Área Seca,Bela Vista,Maranguape,0,0.0,,,
7061,2022-01-12,MANDADO DE PRISÃO,Romeirão,Parreão,Juazeiro do Norte,0,0.0,,,
7062,2022-01-12,POSSE DE DROGA PARA CONSUMO - Art. 28/ Lei nº 11.343/2006,Escola Normal,Olavo Oliveira,Viçosa do Ceará,0,0.01,,,
7063,2022-01-12,VEÍCULO LOCALIZADO,Alto alegre,Alto Da Balança,Maracanaú,0,0.0,,,
7064,2022-01-12,OUTROS,Jari,Ancuri,Maracanaú,0,0.0,,,
7065,2022-01-12,RECEPTAÇÃO - Art. 180/CPB; ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,Conjunto Industrial,Conjunto Ceará Ii,Maracanaú,0,0.0,678.0,,
7066,2022-01-12,ESTUPRO - Art. 213/CPB,Zona Rural,Granja Portugal,Pedra Branca,0,0.0,,,
7067,2022-01-12,VEÍCULO LOCALIZADO,Jardim Fluminense,Jardim Cearense,Fortaleza,0,0.0,,,
7068,2022-01-12,APRESENTAÇÃO E APREENSÃO DE DROGAS,Parque São Gerardo,São Gerardo,Caucaia,0,42.8,,,
7069,2022-01-12,"PORTE DE ARMA DE FOGO COM NUMERAÇÃO RASPADA - Art.16, 1º, IV/Lei nº 10.826/2003; POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; TRÁFICO DE DROGAS",Prainha,Paupina,Aquiraz,2,91.0,8258.0,,
7070,2022-01-12,MANDADO DE PRISÃO,Centro,Centro,Canindé,0,0.0,,,
7071,2022-01-12,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Mangueiral,Manuel Dias Branco,Horizonte,1,0.0,,,
7072,2022-01-12,VEÍCULO LOCALIZADO,Aldeia,Aldeota,Pacajus,0,0.0,,,
7073,2022-01-12,VEÍCULO CLONADO,Área Verde,Padre Andrade,Itaitinga,0,0.0,,,
7074,2022-01-12,TRÁFICO DE DROGAS; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO; INTERVENÇÃO POLICIAL LETAL,Quixaba,Siqueira,Aracati,2,109.0,,,
7075,2022-01-12,VEÍCULO LOCALIZADO,José Walter,Prefeito José Walter,Fortaleza,0,0.0,,,
7076,2022-01-12,TRÁFICO DE DROGAS,São Francisco,São Gerardo,Camocim,0,2.2,132.0,,
7077,2022-01-13,VEÍCULO LOCALIZADO,Edson Queiroz,Edson Queiroz,Fortaleza,0,0.0,,,
7078,2022-01-13,TRÁFICO DE DROGAS,Montese,Montese,Fortaleza,0,18.01,71.0,,
7079,2022-01-13,TRÁFICO DE DROGAS,Pirambu,Pirambu,Fortaleza,0,43.0,37.0,,
7081,2022-01-13,TRÁFICO DE DROGAS,Quintino Cunha,Quintino Cunha,Fortaleza,0,51.0,162.0,,
7082,2022-01-13,ROUBO; DIRIGIR VEÍCULO AUTOMOTOR SEM HABILITAÇÃO - Art. 309/CTB,Conjunto Ceará,Conjunto Ceará I,Fortaleza,0,0.0,7.75,,
7083,2022-01-13,MANDADO DE PRISÃO,Vila Neuma,Vila Velha,Iguatu,0,0.0,,,
7084,2022-01-13,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO; TRÁFICO DE DROGAS; ASSOCIAÇÃO CRIMINOSA (FORMAÇÃO DE QUADRILHA) - Art. 288/CPB,Zona Rural,Granja Portugal,Trairi,1,5.0,55.0,,
