agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature,ais_original,regiao_risp
2.0,AIS 07,,,,Crateús,,Sim,2026-04-22,,,,01:18:11,77596,4414427.0,,-5.1795127879,-40.6548815003,,,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,,,,,,,,AIS 07,NORTE
2.0,AIS 18,,,CENTRO,Fortaleza,,Sim,2026-05-05,,,,00:10:59,78321,4424350.0,,-3.7304156291,-38.5154501347,AVENIDA SANTOS DUMONT,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 06,,,BONSUCESSO,Fortaleza,,Sim,2026-05-05,,,,01:39:34,78320,4424352.0,,-3.7787671209,-38.5823313218,RUA RISO DO PRADO,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,AIS 06,CAPITAL OESTE
2.0,AIS 18,,,JARDIM IRACEMA,Fortaleza,,Sim,2026-05-05,,,,05:27:32,78319,4424355.0,,-3.7244458578,-38.5838729032,RUA RIO PARAGUAI,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,AIS 06,CAPITAL OESTE
2.0,AIS 05,,,JOSÉ BONIFÁCIO,Fortaleza,,Sim,2026-05-05,,,,03:04:50,78318,4424353.0,,-3.738728013,-38.5320670727,RUA INTERNA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 05,,,SERRINHA,Fortaleza,,Sim,2026-05-05,,,,04:32:09,78317,4424354.0,,-3.7829759119,-38.5464339022,RUA ÁLVARES CABRAL,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 17,,,BOM JARDIM,Maracanaú,,Sim,2026-05-05,,,,06:14:12,78316,4424365.0,,-3.8295834796,-38.5966670771,RUA JACARANDÁ,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,AIS 17,CAPITAL OESTE
2.0,AIS 16,,,MESSEJANA,Fortaleza,,Sim,2026-05-04,,,,20:15:43,78315,4424347.0,,-3.8180011774,-38.4975715207,AVENIDA FREI CIRILO,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL LESTE
2.0,AIS 06,,,PARQUELÂNDIA,Fortaleza,,Sim,2026-05-04,,,,03:51:27,78314,4424342.0,,-3.7364176096,-38.564704438,RUA TIPÓGRAFO SALES,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Segunda-feira,False,True,,,,ROUBO A ESTABELECIMENTO COMERCIAL,AIS 06,CAPITAL OESTE
2.0,AIS 21,,,PARQUE MANIBURA,Fortaleza,,Sim,2026-05-04,,,,01:28:34,78313,4424341.0,,-3.7959738733,-38.48910872,AVENIDA OLIVEIRA PAIVA,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
