micronodo,area_oficial,faction,lat,long,cvli_count_500m,cvli_count_1km,cvli_count_2km,cvli_count_total
Lago Verde,URUCUTUBA,CV,-3.758459,-38.66847815065274,14,20,22,22
Central Picuí,URUCUTUBA,CV,-3.757816,-38.657191264935335,18,20,20,20
Favela da Catita,PACATUBA,CV,-3.920524,-38.597862791744845,12,20,20,20
Cemitério,MESSEJANA,CV,-3.8360235,-38.4918284115426,10,20,20,20
Cidade de Frecheirinha,FRECHEIRINHA,CV,-3.759212,-40.81749064797508,12,20,20,32
Mercado Velho,FARIAS BRITO,CV,-3.7273285,-38.54247056563328,14,20,20,20
Salsa,SOBRAL,CV,-3.800015,-40.26354178455976,19,19,19,19
Munguba,IPARANA,CV,-3.67278,-38.67909431917808,12,19,19,19
Cidade Independência,INDEPENDÊNCIA,PCC,-5.3939145,-40.31258167786154,11,19,27,33
Zumbi,HORIZONTE,CV,-4.1024785,-38.48467248050119,19,19,19,19
SIQUEIRA,SIQUEIRA,CV,-3.816384,-38.61790177116891,19,19,19,19
Jaguaretama,JAGUARETAMA,TCP/GDE,-5.605302,-38.76170527008927,6,19,26,33
Cidade de Pedra Branca,PEDRA BRANCA,PCC,-5.460202000000001,-39.71587434014117,2,19,35,54
Comunidade do Sol Nascente,PLANALTO AYRTON SENNA,CV,-3.836394,-38.57468173148148,18,18,18,18
Bairro Industrial,INDUSTRIAL,CV,-3.839072,-38.59370076154289,14,18,18,18
Pantanal - Planalto Ayrton Senna ,PLANALTO AYRTON SENNA,CV,-3.8328445,-38.57113839163297,18,18,18,18
Franciscano ,JUAZEIRO DO NORTE,CV,-7.214399500000001,-39.31248122459408,10,18,18,18
Bairro do Triângulo,JUAZEIRO DO NORTE,CV,-7.231905,-39.327912351784434,13,18,18,18
Jagatá - Maracanaú,ALTO ALEGRE II,CV,-3.833576,-38.62190007623318,12,18,18,18
Comunidade da Paz,PAUPINA,CV,-3.869958,-38.491566497778855,6,18,18,18
Comunidade da Sideral - Bonsucesso,BONSUCESSO,CV,-3.78596,-38.587011265179854,18,18,18,18
Conjunto Leonel Brizola,GRANJA LISBOA,CV,-3.7822475,-38.62421238396438,14,18,18,18
Facó,CRISTO REDENTOR,CV,-3.710421,-38.56474040883549,18,18,18,18
Favelinha,GUADALAJARA,CV,-3.7643975,-38.61815434400134,18,18,18,18
Parque Soledade,PARQUE SOLEDADE,CV,-3.740703,-38.64979648813525,16,18,18,18
Comunidade do Açaí - Antonio Bezerra,PADRE ANDRADE,CV,-3.741714,-38.58319291740246,18,18,18,18
Rua da Palha,PARQUE SOLEDADE,CV,-3.7433685,-38.6553064938132,18,18,18,18
Cercadão ,IPARANA,CV,-3.6829545,-38.66777949209946,2,18,18,18
Comunidade Zé do Caldo,BOM JARDIM,CV,-3.796506,-38.59770970944674,18,18,18,18
