global_rank,micronode_id,score,bairro,regional,faction,longitude,latitude,local_street_pressure,nearby_streets_count,nearby_streets
213,Comunidade do Gueto,50.574,BARRA DO CEARÁ,capital,CV,-38.5822696,-3.7077644,22.282,81,COMUNIDADE DO GUETO; BECO DA 20; CONJUNTO 7 PRÉDIOS
214,4 Varas,50.493,BARRA DO CEARÁ,capital,CV,-38.57421770588236,-3.7012234411764706,22.168,78,4 VARAS; COMUNIDADE DO CIMPELCO (COMPLEXO DA BARRA DO CEARÁ); FAVELA DA 3P
215,Comunidade do Gueto Novo,50.437,BARRA DO CEARÁ,capital,CV,-38.58282529090909,-3.710131472727272,21.618,83,COMUNIDADE DO GUETO NOVO; COMUNIDADE DO GUETO; COMUNIDADE GRAFITEIROS
216,Vila Azul- Boa Viagem,50.361,BOA VIAGEM,interior,PCC,-39.73495333333333,-5.1302027,9.444,28,VILA AZUL- BOA VIAGEM; RUA VEREADOR JOSÉ VIÊIRA DE LIMA; ALTO DO MOTOR
217,Favela da 3P,50.336,BARRA DO CEARÁ,capital,CV,-38.57287735714285,-3.7018696071428576,21.994,80,FAVELA DA 3P; 4 VARAS; FAVELA DA CIRANDAR
218,Alto da Queiroz,50.312,BOA VIAGEM,interior,PCC,-39.73920418181819,-5.1246391212121205,9.537,26,ALTO DA QUEIROZ; RUA MANOEL AMARO DE OLIVEIRA; RUA ANTENOR GOMES DE BARROS LEAL
219,Conjunto 7 Prédios,50.308,BARRA DO CEARÁ,capital,CV,-38.583178,-3.7055008000000003,22.076,77,CONJUNTO 7 PRÉDIOS; BECO DA 20; LAMA SECA
220,Quadrinhas,49.718,BARRA DO CEARÁ,capital,CV,-38.58083138461538,-3.6990133846153856,21.165,63,QUADRINHAS; FAVELINHA; RUA DO LEME
221,Travessa,49.546,BARRA DO CEARÁ,capital,CV,-38.58306729268293,-3.6994072926829276,20.508,60,RUA JANGADA; TRAVESSA; COMUNIDADE DO CAMPINHO
222,Morro do Grêmio,49.527,BARRA DO CEARÁ,capital,CV,-38.57919623809524,-3.6986530000000006,20.697,63,MORRO DO GRÊMIO; RUA DO LEME; GOIABEIRAS
223,Comunidade dos Coqueiros (Complexo da Barra do Ceará),49.474,CRISTO REDENTOR,capital,CV,-38.57071923809524,-3.7023122380952382,20.687,81,COMUNIDADE DOS COQUEIROS (COMPLEXO DA BARRA DO CEARÁ); FAVELA DA 3P; RUA JOSÉ LUÍS NETO
224,Goiabeiras,49.463,BARRA DO CEARÁ,capital,CV,-38.57778283333334,-3.6986365000000005,20.318,64,RUA DOUTOR JOSÉ ROBERTO SALES; GOIABEIRAS; MORRO DO GRÊMIO
225,Lama Seca,49.314,BARRA DO CEARÁ,capital,CV,-38.584172875,-3.7063896875,20.632,73,LAMA SECA; CONJUNTO 7 PRÉDIOS; BECO DA 20
226,Fronteira (Complexo da Barra do Ceará),48.921,CRISTO REDENTOR,capital,CV,-38.566077875000005,-3.706121125,20.05,86,FRONTEIRA (COMPLEXO DA BARRA DO CEARÁ); BURACO DO CÉU; AREA SEM NOME
227,Comunidade Do Campinho,48.821,BARRA DO CEARÁ,capital,CV,-38.584416857142855,-3.6998560000000005,19.768,61,COMUNIDADE DO CAMPINHO; RUA JANGADA; TRAVESSA
228,B13 - (Complexo da Barra do Ceará),48.587,BARRA DO CEARÁ,capital,CV,-38.574080181818175,-3.7071364545454553,19.498,57,B13 - (COMPLEXO DA BARRA DO CEARÁ); RUA TAMBAÚ; FAVELA DO BICAL
229,Campo do Cruzeiro,48.555,BARRA DO CEARÁ,capital,CV,-38.5850488,-3.7030892,19.388,67,CAMPO DO CRUZEIRO; COMUNIDADE DO CAMPINHO; CONJUNTO 7 PRÉDIOS
230,Favelinha,48.354,BARRA DO CEARÁ,capital,CV,-38.58257447222222,-3.697893694444444,18.871,54,FAVELINHA; COMUNIDADE SÃO ANTONIO; RUA JANGADA
231,Ponte Nova,47.885,BOA VIAGEM,interior,PCC,-39.740032437499984,-5.129059468749999,7.667,21,PONTE NOVA; RUA FRANCISCO TIBIRÍÇA FAÇANHA; RUA FRANCISCO CAMURÇA
232,Tibiaquari,47.592,BOA VIAGEM,interior,PCC,-39.726969571428576,-5.126676857142856,7.441,21,TIBIAQUARI; BAIRRO JOSÉ ROSA; RUA MONSENHOR JOSÉ CÂNDIDO
233,Comunidade São Antonio,47.406,BARRA DO CEARÁ,capital,CV,-38.58251295,-3.6966321,17.655,52,COMUNIDADE SÃO ANTONIO; COMUNIDADE SÃO PEDRO; FAVELINHA
234,Comunidade Riacho Doce- Barra do Ceará,47.385,BARRA DO CEARÁ,capital,CV,-38.58641225,-3.7109867500000004,17.302,72,COMUNIDADE RIACHO DOCE- BARRA DO CEARÁ; COMUNIDADE DO GUETO NOVO; RUA MANUEL MOURA
235,Comunidade do Seu Rosa,47.132,JOSÉ DE ALENCAR,capital,CV,-38.475476444444446,-3.814439749999999,14.065,49,COMUNIDADE DO SEU ROSA; AREA SEM NOME; RUA LUÍS ORIÁ
236,Morro Do Santiago,47.105,BARRA DO CEARÁ,capital,CV,-38.58489366176471,-3.6978509852941186,17.174,50,MORRO DO SANTIAGO; RUA SANTIAGO DA BARRA DO CEARÁ; COMUNIDADE DO POLO DA BARRA
237,Comunidade Língua da Cobra,47.09,BARRA DO CEARÁ,capital,CV,-38.579619375,-3.6965133125000005,17.394,54,COMUNIDADE LÍNGUA DA COBRA; MORRO DO GRÊMIO; COMUNIDADE SÃO PEDRO
